"feature_id","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","ms_level"
"FT0001",111.008431538436,111.006664527634,111.016933658341,42.4078750610352,26.5613384246826,132.396423339844,208,0,170,1
"FT0002",112.985612444091,112.98520490531,112.985808972773,1093.15356445312,984.80859375,1143.22009277344,727,1,252,1
"FT0003",112.985531774174,112.98485813534,113.06099435491,14.3698415756226,2.33105063438416,79.9062957763672,41,1,39,1
"FT0004",115.003776552051,114.988475597675,115.004560558225,31.970121383667,21.6220874786377,128.672088623047,537,0,171,1
"FT0005",115.07658281118,115.012339634867,115.085089685604,153.602005004883,32.6650886535645,254.567047119141,156,0,146,1
"FT0006",116.071928942979,116.007103305691,116.072546532049,376.539047241211,354.955047607422,378.407348632812,30,1,28,1
"FT0007",117.019283638739,117.017595081167,117.02816313244,47.9740104675293,35.1970672607422,134.367401123047,166,0,159,1
"FT0008",118.930870413921,118.929919338675,119.036007359616,28.177056312561,27.1867713928223,29.3572559356689,154,0,145,1
"FT0009",128.959610482448,128.958473654227,129.055771347131,42.0124435424805,27.3831977844238,76.9905090332031,337,0,165,1
"FT0010",130.982823499024,130.978675025708,131.07129440451,23.2259999160767,21.2780647277832,131.88557434082,266,0,166,1
"FT0011",131.07109561084,130.981763512228,131.080592783398,288.666839599609,213.386932373047,290.004425048828,166,0,159,1
"FT0012",133.014370482708,133.013340432002,133.04993109069,39.6695556640625,28.2137908935547,144.941589355469,451,0,171,1
"FT0013",133.014085593593,133.013277822761,133.024052852069,230.593002319336,161.990341186523,271.042602539062,169,0,161,1
"FT0014",134.017416085017,134.016731955191,134.027137160631,38.3097114562988,28.2137908935547,128.672088623047,337,0,171,1
"FT0015",134.017427275681,134.016743236196,134.027363207389,230.859466552734,222.65885925293,271.042602539062,152,0,143,1
"FT0016",135.018993827954,135.017989951206,135.029562404971,32.6313514709473,27.3626918792725,128.672088623047,272,0,151,1
"FT0017",137.024091287781,137.023373854985,137.034116613502,171.490364074707,114.235999084473,174.193923950195,194,0,163,1
"FT0018",146.04569689995,145.948613235782,146.056380453304,28.591459274292,25.5380191802979,126.957389831543,177,0,138,1
"FT0019",147.065832730069,147.029564212294,147.076703865446,171.818908691406,130.393127441406,240.874298095703,146,0,137,1
"FT0020",147.029762699985,147.028925470436,147.066284068644,47.9410209655762,34.975658416748,101.655059814453,183,0,169,1
"FT0021",148.949619282937,148.948470104917,149.045592546511,27.222074508667,26.2886524200439,116.940999084473,165,0,154,1
"FT0022",150.947122725652,150.945662511813,151.061752120711,27.2346172332764,26.3236541748047,29.6070423126221,77,1,72,1
"FT0023",152.034983164711,152.033849287123,152.064442809938,162.246124267578,28.8227405548096,256.157958984375,77,1,72,1
"FT0024",157.050537088904,157.049602689444,157.062010184615,207.83837890625,206.800109863281,265.298156738281,167,0,163,1
"FT0025",158.978281153623,158.977127923088,158.989730194686,23.8980045318604,22.1037693023682,125.162879943848,172,0,171,1
"FT0026",159.065870527665,158.978073036607,159.067233350293,418.376647949219,351.327789306641,420.533355712891,148,0,146,1
