"","mz","rt","n_samples"
"FT0001",111.008431538436,42.4078750610352,261
"FT0002",112.985612444091,1093.15356445312,261
"FT0003",112.985531774174,14.3698415756226,261
"FT0004",115.003776552051,31.970121383667,261
"FT0005",115.07658281118,153.602005004883,261
"FT0006",116.071928942979,376.539047241211,261
"FT0007",117.019283638739,47.9740104675293,261
"FT0008",118.930870413921,28.177056312561,261
"FT0009",128.959610482448,42.0124435424805,261
"FT0010",130.982823499024,23.2259999160767,261
"FT0011",131.07109561084,288.666839599609,261
"FT0012",133.014370482708,39.6695556640625,261
"FT0013",133.014085593593,230.593002319336,261
"FT0014",134.017416085017,38.3097114562988,261
"FT0015",134.017427275681,230.859466552734,261
"FT0016",135.018993827954,32.6313514709473,261
"FT0017",137.024091287781,171.490364074707,261
"FT0018",146.04569689995,28.591459274292,261
"FT0019",147.065832730069,171.818908691406,261
"FT0020",147.029762699985,47.9410209655762,261
"FT0021",148.949619282937,27.222074508667,261
"FT0022",150.947122725652,27.2346172332764,261
"FT0023",152.034983164711,162.246124267578,261
"FT0024",157.050537088904,207.83837890625,261
"FT0025",158.978281153623,23.8980045318604,261
"FT0026",159.065870527665,418.376647949219,261
"FT0027",159.979744597215,23.8979997634888,261
"FT0028",160.040707807502,391.181442260742,261
"FT0029",161.080876976732,242.126419067383,261
"FT0030",160.977013266006,24.2375965118408,261
"FT0031",163.03979871776,214.934936523438,261
"FT0032",164.071260576155,79.6688461303711,261
"FT0033",164.935044187234,27.9667358398438,261
"FT0034",165.040572977313,749.461181640625,261
"FT0035",171.102337160397,879.677917480469,261
"FT0036",173.045386973855,258.390151977539,261
"FT0037",173.00933822417,42.9338264465332,261
"FT0038",173.04511120823,380.923980712891,261
"FT0039",174.95594308773,1142.21203613281,261
"FT0040",174.955966496202,23.8980007171631,261
"FT0041",175.060881988136,170.575172424316,261
"FT0042",179.035264215175,230.841239929199,261
"FT0043",179.05601715086,28.5722103118896,261
"FT0044",180.038477044298,230.885482788086,261
"FT0045",180.973018877826,1085.08898925781,261
"FT0046",182.988727506062,1045.142578125,261
"FT0047",187.097167519865,313.158233642578,261
"FT0048",187.06100602163,418.374084472656,261
"FT0049",187.060986299835,174.341369628906,261
"FT0050",189.076607290601,169.871307373047,261
"FT0051",191.051108805948,68.8659324645996,261
"FT0052",191.055392947316,198.304733276367,261
"FT0053",192.059208268457,190.888038635254,261
"FT0054",192.023605970597,42.897762298584,261
"FT0055",193.050421267445,280.9677734375,261
"FT0056",193.024784587983,42.7635459899902,261
"FT0057",195.050669829169,32.6234741210938,261
"FT0058",195.810696696025,1143.89208984375,261
"FT0059",197.06608865806,28.3183708190918,261
"FT0060",197.807723930105,1143.89501953125,261
"FT0061",198.070267633788,28.5020179748535,261
"FT0062",199.804683723726,1143.89196777344,261
"FT0063",203.089989154217,252.166870117188,261
"FT0064",203.082409642444,146.212005615234,261
"FT0065",204.085277484021,146.289077758789,261
"FT0066",205.071948916951,153.622566223145,261
"FT0067",206.075175686531,153.604347229004,261
"FT0068",206.081789787153,249.827117919922,261
"FT0069",207.065222202583,309.522033691406,261
"FT0070",207.0754501783,153.270004272461,261
"FT0071",209.118013990827,346.573669433594,261
"FT0072",211.133652562419,833.474029541016,261
"FT0073",211.133660442432,486.273010253906,261
"FT0074",213.149448686005,446.292877197266,261
"FT0075",214.073103996553,184.545364379883,261
"FT0076",214.152752457338,446.331512451172,261
"FT0077",215.032930799195,27.9569358825684,261
"FT0078",215.091932483987,184.445739746094,261
"FT0079",217.072044894163,288.377014160156,261
"FT0080",217.030024437097,28.2485866546631,261
"FT0081",218.102989140215,96.926872253418,261
"FT0082",219.051282988858,93.6436614990234,261
"FT0083",221.102709701032,158.984764099121,261
"FT0084",221.066559303043,307.146255493164,261
"FT0085",221.154285441371,536.722900390625,261
"FT0086",223.061183661483,282.727645874023,261
"FT0087",223.133758447498,507.010498046875,261
"FT0088",225.0615104507,27.9928665161133,261
"FT0089",227.128772454885,437.407409667969,261
"FT0090",227.128802816625,346.298385620117,261
"FT0091",233.066617863998,172.421997070312,261
"FT0092",236.105114740904,536.720428466797,261
"FT0093",238.931515713509,1067.63342285156,261
"FT0094",239.128291828328,440.250366210938,261
"FT0095",242.175895828247,433.598907470703,261
"FT0096",242.940284395034,27.5414924621582,261
"FT0097",245.042407934389,29.2748975753784,261
"FT0098",245.094513177316,274.338226318359,261
"FT0099",247.082275784325,241.945907592773,261
"FT0100",248.085623781503,241.949264526367,261
"FT0101",248.960436326875,1092.09619140625,261
"FT0102",249.097545841637,88.625114440918,261
"FT0103",249.185307883837,581.038024902344,261
"FT0104",249.185384832084,741.910614013672,261
"FT0105",249.963922730615,1084.75305175781,261
"FT0106",250.964950361971,1084.75256347656,261
"FT0107",251.165087959978,832.075988769531,261
"FT0108",251.056203414803,309.473098754883,261
"FT0109",252.168325378353,832.373657226562,261
"FT0110",253.091879989773,43.4947128295898,261
