"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Flavone and flavonol biosynthesis",10,2,2,1,0.03448,0.1506
"Anthocyanin biosynthesis",11,1,1,1,0.03846,0.1638
"Lysine biosynthesis",9,1,1,1,0.0566,0.2191
"Monobactam biosynthesis",8,1,1,1,0.0566,0.2191
"Tryptophan metabolism",29,1,1,1,0.0566,0.2191
"Linoleic acid metabolism",3,3,3,1,0.06494,0.2425
"Sphingolipid metabolism",10,1,1,1,0.09615,0.3213
"Folate biosynthesis",32,3,3,1,0.1096,0.3519
"Cutin, suberine and wax biosynthesis",11,7,7,1,0.1149,0.3635
"Biosynthesis of unsaturated fatty acids",22,5,5,1,0.125,0.3849
"Ascorbate and aldarate metabolism",20,1,1,1,0.2308,0.5692
"Fructose and mannose metabolism",17,4,4,1,0.2308,0.5692
"Glycerolipid metabolism",8,1,1,1,0.2308,0.5692
"Glycolysis or Gluconeogenesis",23,4,4,1,0.2308,0.5692
"Pentose and glucuronate interconversions",15,1,1,1,0.2308,0.5692
"Terpenoid backbone biosynthesis",26,1,1,1,0.2308,0.5692
"Thiamine metabolism",20,1,1,1,0.2308,0.5692
"Phenylalanine, tyrosine and tryptophan biosynthesis",22,6,6,1,0.2375,0.5789
"Indole alkaloid biosynthesis",7,3,3,1,0.2759,0.6312
"Biosynthesis of various plant secondary metabolites",29,4,4,1,0.375,0.7428
"Tropane, piperidine and pyridine alkaloid biosynthesis",9,2,2,1,0.4054,0.7714
"Inositol phosphate metabolism",20,8,8,1,0.4595,0.8168
"Fatty acid biosynthesis",12,3,3,1,0.4795,0.8319
"Arachidonic acid metabolism",8,1,1,1,0.4808,0.8329
"Carotenoid biosynthesis",42,2,2,1,0.5577,0.8834
"Galactose metabolism",26,9,9,1,0.5946,0.9037
"Starch and sucrose metabolism",14,7,7,1,0.5946,0.9037
"Cysteine and methionine metabolism",46,1,1,1,0.6038,0.9084
"Tyrosine metabolism",17,1,1,1,0.6038,0.9084
"Arginine biosynthesis",18,1,1,1,0.6346,0.9232
"Diterpenoid biosynthesis",29,5,5,1,0.6438,0.9273
"Biotin metabolism",6,1,1,1,0.6538,0.9316
"Citrate cycle (TCA cycle)",16,3,3,1,0.6615,0.9349
"Glyoxylate and dicarboxylate metabolism",28,3,3,1,0.6615,0.9349
"Porphyrin metabolism",47,7,7,1,0.6667,0.937
"Phenylalanine metabolism",12,3,3,1,0.7027,0.9506
"Purine metabolism",75,1,1,1,0.7308,0.96
"Pyruvate metabolism",20,2,2,1,0.7922,0.9767
"Pyrimidine metabolism",41,3,3,1,0.8113,0.981
"beta-Alanine metabolism",18,1,1,1,0.8113,0.981
"Sesquiterpenoid and triterpenoid biosynthesis",24,6,6,1,0.8154,0.9818
"Fatty acid degradation",33,1,1,1,0.8868,0.9933
"Fatty acid elongation",14,1,1,1,0.8868,0.9933
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",4,1,1,1,0.8868,0.9933
"Monoterpenoid biosynthesis",7,4,4,1,0.9038,0.9952
"Riboflavin metabolism",13,3,3,1,0.931,0.9976
"Glucosinolate biosynthesis",65,7,7,1,0.9583,0.9991
"C5-Branched dibasic acid metabolism",6,3,3,1,0.9863,0.9999
"Alanine, aspartate and glutamate metabolism",22,3,3,1,1,1
"Amino sugar and nucleotide sugar metabolism",46,7,7,1,1,1
"Butanoate metabolism",17,4,4,1,1,1
"Carbon fixation by Calvin cycle",21,2,2,1,1,1
"Flavonoid biosynthesis",47,2,2,1,1,1
"Glycine, serine and threonine metabolism",30,2,2,1,1,1
"Pantothenate and CoA biosynthesis",23,4,4,1,1,1
"Pentose phosphate pathway",19,5,5,1,1,1
"Phenylpropanoid biosynthesis",39,15,15,1,1,1
"Propanoate metabolism",17,3,3,1,1,1
"Stilbenoid, diarylheptanoid and gingerol biosynthesis",8,2,2,1,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",37,6,6,1,1,1
"Valine, leucine and isoleucine biosynthesis",22,13,13,1,1,1
"Valine, leucine and isoleucine degradation",32,7,7,1,1,1
"alpha-Linolenic acid metabolism",25,14,14,1,1,1
