Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
117.019283638739,C00042,M-H[-],47.9740104675293,3.98944910102728e-05,EC0001
259.021794825745,C00085,M-H[-],29.2681179046631,0.000628707484963797,EC0002
341.108640635796,C00089,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C00089,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
259.021794825745,C00092,M-H[-],29.2681179046631,0.000628707484963797,EC0002
259.021794825745,C00103,M-H[-],29.2681179046631,0.000628707484963797,EC0002
383.048916509908,C00105,M+CH3COO[-],42.8586273193359,0.000278490092057382,EC0004
152.034983164711,C00108,M-H+O[-],162.246124267578,0.000350368518979849,EC0005
117.019283638739,C00109,M-H+O[-],47.9740104675293,4.98944910134469e-05,EC0006
175.060881988136,C00141,M+CH3COO[-],170.575172424316,0.000286988135968613,EC0007
137.024091287781,C00156,M-H[-],171.490364074707,0.000332245448987578,EC0008
192.023605970597,C00158,M(C13)-H[-],42.897762298584,0.000482437367026023,EC0009
117.019283638739,C00164,M-H+O[-],47.9740104675293,4.98944910134469e-05,EC0006
223.061183661483,C00166,M+CH3COO[-],282.727645874023,0.000588661482993302,EC00010
341.108640635796,C00185,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C00185,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
341.108640635796,C00208,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C00208,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
117.019283638739,C00232,M-H+O[-],47.9740104675293,4.98944910134469e-05,EC0006
175.060881988136,C00233,M+HCOO[-],170.575172424316,0.000236988136009586,EC00011
189.076607290601,C00233,M+CH3COO[-],169.871307373047,0.00031229060101623,EC00011
341.108640635796,C00243,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C00243,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
255.232423015047,C00249,M-H[-],925.143432617188,0.000500518183002896,EC00012
256.236041911494,C00249,M(C13)-H[-],925.055725097656,0.000281621736007764,EC00012
285.061663816091,C00251,M+CH3COO[-],156.632568359375,0.000668816091035751,EC00013
285.061663816091,C00254,M+CH3COO[-],156.632568359375,0.000668816091035751,EC00013
